family,variant,model_name,width,params,gmac,rsna_balanced_accuracy,rsna_sensitivity,rsna_specificity,rsna_roc_auc,kermany_balanced_accuracy,kermany_sensitivity,kermany_specificity,kermany_roc_auc,chittagong_balanced_accuracy,chittagong_sensitivity,chittagong_specificity,chittagong_roc_auc
pneumonia_net,width_0.5,pneumonia_net,0.5,75457,0.133670944,0.922,0.926,0.918,0.9735560000000001,0.7162393162393162,0.9153846153846154,0.5170940170940171,0.8129848783694937,0.8147343142023347,0.7734375,0.8560311284046692,0.8873115272373541
pneumonia_net,width_1,pneumonia_net,1.0,300161,0.527458368,0.9139999999999999,0.88,0.948,0.976764,0.6863247863247863,0.8,0.5726495726495726,0.7415406530791148,0.7561481639105059,0.66015625,0.8521400778210116,0.8658651507782101
pneumonia_net,width_1.5,pneumonia_net,1.5,674113,1.181362272,0.9219999999999999,0.896,0.948,0.9804959999999999,0.7217948717948718,0.8794871794871795,0.5641025641025641,0.8141792680254218,0.7795476653696498,0.6875,0.8715953307392996,0.8868403453307394
pneumonia_net,width_2,pneumonia_net,2.0,1197313,2.095382656,0.922,0.936,0.908,0.976464,0.6658119658119658,0.9128205128205128,0.4188034188034188,0.7518189787420557,0.8070130107003891,0.8046875,0.8093385214007782,0.8821741245136187
pneumonia_net,width_3,pneumonia_net,3.0,2691457,4.703772864,0.924,0.92,0.928,0.97956,0.6773504273504274,0.9615384615384616,0.39316239316239315,0.8129958360727593,0.8168090345330739,0.83984375,0.7937743190661478,0.896187986381323
pneumonia_net,width_4,pneumonia_net,4.0,4782593,8.352628992,0.923,0.916,0.93,0.9788600000000001,0.7235042735042735,0.8743589743589744,0.5726495726495726,0.8251260135875521,0.7951726653696498,0.71875,0.8715953307392996,0.8768695282101167
efficientnet,efficientnet_b0,efficientnet_b0,,4008829,0.384536032,0.95,0.944,0.956,0.9888640000000001,0.8179487179487179,0.8666666666666667,0.7692307692307693,0.9029476221783914,0.7950738691634242,0.66796875,0.9221789883268483,0.8938776750972763
efficientnet,efficientnet_b1,efficientnet_b1,,6514465,0.56837296,0.946,0.914,0.978,0.9886159999999999,0.732905982905983,0.5384615384615384,0.9273504273504274,0.8997698882314267,0.6739193214980546,0.39453125,0.953307392996109,0.8875699173151752
efficientnet,efficientnet_b2,efficientnet_b2,,7702403,0.657556848,0.947,0.948,0.946,0.989272,0.7803418803418802,0.8897435897435897,0.6709401709401709,0.8830374753451677,0.8048622932879377,0.69921875,0.9105058365758755,0.8903210116731519
efficientnet,efficientnet_b3,efficientnet_b3,,10697769,0.961173776,0.936,0.936,0.936,0.982916,0.8051282051282052,0.764102564102564,0.8461538461538461,0.8986850756081526,0.7501215953307393,0.5625,0.9377431906614786,0.8959751945525293
